PRODUCT,COST,RATING
"Infinix Hot 10 (Obsidian Black, 64 GB)","₹9,499",4.4
"Infinix Hot 10 (Moonlight Jade, 64 GB)","₹9,499",4.4
"Infinix Hot 10 (Amber Red, 64 GB)","₹9,499",4.4
nuvo FLASH,₹899,3.4
"Realme Narzo 20A (Glory Silver, 64 GB)","₹9,499",4.4
"Motorola G9 (Sapphire Blue, 64 GB)","₹9,999",4.2
"Tecno Spark Power 2 (Misty Grey, 64 GB)","₹9,999",4.3
nuvo NF18B,₹699,4.3
"Tecno Spark Power 2 (Ice Jadeite, 64 GB)","₹9,999",4.4
"Infinix Hot 9 Pro (Ocean Wave, 64 GB)","₹9,999",4.4
"Infinix Hot 9 Pro (Violet, 64 GB)","₹9,999",3.5
nuvo One Echo,₹649,4.2
"Motorola E7 Plus (Misty Blue, 64 GB)","₹9,499",4.4
"Infinix Hot 9 Pro (Quetzal Cyan, 64 GB)","₹9,999",4.3
"Realme C15 (Power Blue, 32 GB)","₹9,999",3.7
nuvo One-Echo (Without Accessories),₹649,4.3
"Realme C15 (Power Silver, 32 GB)","₹9,999",4.2
"Redmi 9 (Sky Blue, 64 GB)","₹9,399",4.3
"OPPO A5s (Blue, 64 GB)","₹9,990",4.3
"nuvo 2.4"" Display with 2500mAh Battery and Selfie Camera",₹999,4.3
"OPPO A5s (Black, 64 GB)","₹9,990",4.3
"Vivo Y11 (Agate Red, 32 GB)","₹9,490",4.2
"Vivo Y11 (Mineral Blue, 32 GB)","₹9,490",4.2
"Tecno Camon 15 (Dark Jade, 64 GB)","₹9,999",4
